Invoice Number,Date Time,Customer ID,Product ID,Quantity,Price per Unit,Return Status,Sales Channel,Total Sales,Customer Age Group,Region,Product Category,date,year
10000,2021-01-01 10:20:00,74,3,2,24.0,Not Returned,In-Store,48.0,26-35,West,Footwear,2021-01-01,2021
10001,2021-01-08 03:10:00,92,10,6,40.24,Not Returned,In-Store,241.44,18-25,South,Footwear,2021-01-08,2021
1000,2021-01-05 20:24:00,86,20,5,25.96,Not Returned,Online,129.8,18-25,East,Clothing,2021-01-05,2021
10002,2021-01-11 03:43:00,57,11,6,85.86,Not Returned,Online,515.16,46-55,North,Clothing,2021-01-11,2021
10003,2021-01-02 07:26:00,73,25,5,72.88,Not Returned,In-Store,364.4,56+,West,Clothing,2021-01-02,2021
10004,2021-01-01 01:15:00,98,17,2,25.54,Not Returned,Online,51.08,26-35,East,Accessories,2021-01-01,2021
10006,2021-01-08 04:54:00,44,10,5,59.24,Not Returned,In-Store,296.2,26-35,East,Footwear,2021-01-08,2021
10008,2021-01-10 02:33:00,17,35,4,21.22,Not Returned,In-Store,84.88,46-55,South,Footwear,2021-01-10,2021
10009,2021-01-07 08:23:00,34,48,7,42.53,Not Returned,Online,297.71,18-25,North,Footwear,2021-01-07,2021
10012,2021-01-10 08:29:00,96,36,1,34.97,Not Returned,Online,34.97,36-45,North,Clothing,2021-01-10,2021
1001,2021-01-09 14:53:00,50,32,2,32.16,Not Returned,In-Store,64.32,46-55,South,Clothing,2021-01-09,2021
10014,2021-01-02 18:45:00,76,24,3,42.49,Not Returned,Online,127.47,26-35,West,Accessories,2021-01-02,2021
10015,2021-01-10 01:27:00,98,40,2,34.85,Not Returned,Online,69.7,26-35,East,Accessories,2021-01-10,2021
10016,2021-01-07 14:41:00,26,21,3,43.16,Not Returned,In-Store,129.48,36-45,East,Clothing,2021-01-07,2021
10019,2021-01-04 03:03:00,65,38,5,70.21,Returned,Online,351.05,26-35,West,Footwear,2021-01-04,2021
10020,2021-01-08 10:11:00,56,26,6,74.37,Not Returned,Online,446.22,18-25,East,Footwear,2021-01-08,2021
10021,2021-01-05 04:13:00,92,4,6,61.79,Not Returned,Online,370.74,18-25,South,Clothing,2021-01-05,2021
1002,2021-01-11 03:21:00,27,21,1,91.12,Not Returned,Online,91.12,36-45,North,Clothing,2021-01-11,2021
10022,2021-01-11 01:37:00,79,16,3,52.74,Not Returned,In-Store,158.22,46-55,South,Footwear,2021-01-11,2021
10023,2021-01-08 08:07:00,47,14,1,63.51,Not Returned,Online,63.51,26-35,East,Clothing,2021-01-08,2021
10024,2021-01-09 13:39:00,82,12,6,38.93,Not Returned,Online,233.58,18-25,South,Clothing,2021-01-09,2021
10025,2021-01-07 22:04:00,71,40,5,20.19,Not Returned,Online,100.95,18-25,North,Accessories,2021-01-07,2021
10026,2021-01-06 10:49:00,99,11,7,53.68,Not Returned,Online,375.76,26-35,South,Clothing,2021-01-06,2021
10027,2021-01-10 23:16:00,41,40,5,84.18,Not Returned,Online,420.9,46-55,East,Accessories,2021-01-10,2021
10029,2021-01-02 23:13:00,60,32,2,40.21,Not Returned,Online,80.42,26-35,West,Clothing,2021-01-02,2021
10030,2021-01-09 22:21:00,97,30,7,94.66,Not Returned,Online,662.62,56+,East,Clothing,2021-01-09,2021
10031,2021-01-07 08:31:00,97,33,6,23.8,Not Returned,Online,142.8,56+,East,Accessories,2021-01-07,2021
1003,2021-01-09 07:11:00,77,23,7,46.6,Not Returned,Online,326.2,18-25,West,Clothing,2021-01-09,2021
10033,2021-01-06 08:49:00,24,6,1,53.24,Not Returned,In-Store,53.24,18-25,South,Accessories,2021-01-06,2021
10034,2021-01-04 02:45:00,7,24,4,40.19,Not Returned,Online,160.76,18-25,North,Accessories,2021-01-04,2021
10035,2021-01-09 01:21:00,12,43,5,20.92,Not Returned,Online,104.6,36-45,West,Clothing,2021-01-09,2021
10036,2021-01-08 18:24:00,66,27,5,50.56,Not Returned,In-Store,252.8,46-55,South,Footwear,2021-01-08,2021
10037,2021-01-06 12:55:00,51,7,2,98.22,Not Returned,Online,196.44,46-55,East,Footwear,2021-01-06,2021
10038,2021-01-07 18:48:00,87,34,4,88.8,Not Returned,Online,355.2,18-25,South,Footwear,2021-01-07,2021
10039,2021-01-02 17:41:00,59,47,3,21.25,Not Returned,Online,63.75,46-55,North,Footwear,2021-01-02,2021
10041,2021-01-08 01:25:00,70,23,1,43.17,Not Returned,Online,43.17,46-55,North,Clothing,2021-01-08,2021
1004,2021-01-03 14:35:00,44,2,7,80.42,Not Returned,Online,562.94,26-35,East,Clothing,2021-01-03,2021
10042,2021-01-10 15:11:00,30,34,1,46.46,Not Returned,Online,46.46,46-55,East,Footwear,2021-01-10,2021
10043,2021-01-11 03:41:00,36,32,6,95.68,Not Returned,Online,574.08,56+,East,Clothing,2021-01-11,2021
10044,2021-01-05 12:47:00,1,11,4,22.03,Not Returned,Online,88.12,46-55,West,Clothing,2021-01-05,2021
10045,2021-01-08 03:24:00,96,49,6,63.52,Returned,Online,381.12,36-45,North,Footwear,2021-01-08,2021
10046,2021-01-07 08:40:00,14,17,2,67.26,Not Returned,In-Store,134.52,26-35,East,Accessories,2021-01-07,2021
10047,2021-01-09 21:43:00,3,6,4,29.71,Not Returned,Online,118.84,36-45,North,Accessories,2021-01-09,2021
10048,2021-01-03 14:19:00,5,22,5,97.04,Returned,Online,485.2,56+,West,Clothing,2021-01-03,2021
10049,2021-01-10 15:52:00,46,5,2,46.08,Returned,Online,92.16,18-25,West,Clothing,2021-01-10,2021
10050,2021-01-05 23:29:00,78,18,6,43.54,Not Returned,Online,261.24,46-55,South,Footwear,2021-01-05,2021
10051,2021-01-11 08:32:00,13,24,5,27.78,Not Returned,Online,138.9,56+,North,Accessories,2021-01-11,2021
10052,2021-01-07 23:56:00,22,3,6,45.26,Not Returned,Online,271.56,56+,North,Footwear,2021-01-07,2021
1005,2021-01-04 04:28:00,14,3,3,67.28,Not Returned,In-Store,201.84,26-35,East,Footwear,2021-01-04,2021
10053,2021-01-07 20:51:00,56,18,1,34.78,Not Returned,Online,34.78,18-25,East,Footwear,2021-01-07,2021
10054,2021-01-08 20:41:00,51,48,6,45.23,Not Returned,Online,271.38,46-55,East,Footwear,2021-01-08,2021
10055,2021-01-08 18:25:00,54,5,4,47.55,Not Returned,Online,190.2,56+,East,Clothing,2021-01-08,2021
10056,2021-01-03 08:37:00,25,46,6,68.07,Not Returned,Online,408.42,18-25,East,Clothing,2021-01-03,2021
10057,2021-01-06 09:06:00,67,9,7,86.95,Not Returned,Online,608.65,26-35,South,Footwear,2021-01-06,2021
10059,2021-01-03 22:53:00,74,45,1,69.62,Not Returned,Online,69.62,26-35,West,Footwear,2021-01-03,2021
10060,2021-01-05 10:31:00,79,16,6,28.98,Not Returned,In-Store,173.88,46-55,South,Footwear,2021-01-05,2021
10061,2021-01-04 18:08:00,81,48,1,64.09,Not Returned,Online,64.09,56+,West,Footwear,2021-01-04,2021
1006,2021-01-10 18:39:00,63,20,2,25.38,Not Returned,In-Store,50.76,56+,East,Clothing,2021-01-10,2021
10062,2021-01-03 14:54:00,81,36,2,97.35,Not Returned,Online,194.7,56+,West,Clothing,2021-01-03,2021
10065,2021-01-11 08:33:00,62,13,6,70.61,Not Returned,In-Store,423.66,46-55,East,Footwear,2021-01-11,2021
10066,2021-01-07 06:24:00,3,10,7,33.65,Not Returned,Online,235.55,36-45,North,Footwear,2021-01-07,2021
10068,2021-01-08 17:32:00,50,48,6,23.34,Not Returned,Online,140.04,46-55,South,Footwear,2021-01-08,2021
10069,2021-01-10 04:55:00,4,30,7,61.96,Not Returned,Online,433.72,56+,East,Clothing,2021-01-10,2021
10070,2021-01-06 21:47:00,84,18,7,85.19,Not Returned,In-Store,596.33,56+,West,Footwear,2021-01-06,2021
10071,2021-01-02 03:35:00,54,15,7,65.39,Not Returned,In-Store,457.73,56+,East,Footwear,2021-01-02,2021
10072,2021-01-07 00:39:00,14,2,3,48.23,Not Returned,Online,144.69,26-35,East,Clothing,2021-01-07,2021
10073,2021-01-11 05:00:00,6,30,4,56.33,Not Returned,Online,225.32,26-35,South,Clothing,2021-01-11,2021
1007,2021-01-06 13:32:00,42,46,7,96.37,Not Returned,Online,674.59,18-25,East,Clothing,2021-01-06,2021
10075,2021-01-11 00:13:00,3,5,5,88.52,Not Returned,Online,442.6,36-45,North,Clothing,2021-01-11,2021
10079,2021-01-06 07:54:00,18,33,7,82.94,Not Returned,Online,580.58,56+,East,Accessories,2021-01-06,2021
10080,2021-01-08 23:02:00,12,49,2,35.38,Returned,In-Store,70.76,36-45,West,Footwear,2021-01-08,2021
10081,2021-01-01 17:26:00,85,21,2,89.21,Not Returned,In-Store,178.42,18-25,North,Clothing,2021-01-01,2021
10082,2021-01-09 11:10:00,82,10,4,77.23,Not Returned,In-Store,308.92,18-25,South,Footwear,2021-01-09,2021
1008,2021-01-06 20:22:00,94,49,4,79.09,Not Returned,In-Store,316.36,36-45,West,Footwear,2021-01-06,2021
10085,2021-01-03 14:22:00,52,18,6,47.49,Not Returned,In-Store,284.94,46-55,East,Footwear,2021-01-03,2021
10086,2021-01-04 14:29:00,63,35,4,98.02,Not Returned,Online,392.08,56+,East,Footwear,2021-01-04,2021
10087,2021-01-04 00:37:00,27,25,6,86.34,Returned,In-Store,518.04,36-45,North,Clothing,2021-01-04,2021
10088,2021-01-10 10:05:00,43,8,1,88.76,Not Returned,Online,88.76,46-55,West,Accessories,2021-01-10,2021
10089,2021-01-09 05:16:00,49,16,4,83.31,Not Returned,Online,333.24,26-35,West,Footwear,2021-01-09,2021
10090,2021-01-10 04:52:00,38,2,5,95.63,Not Returned,Online,478.15,56+,South,Clothing,2021-01-10,2021
10091,2021-01-03 10:55:00,43,28,3,27.95,Not Returned,Online,83.85,46-55,West,Footwear,2021-01-03,2021
10093,2021-01-10 04:42:00,81,24,3,96.53,Returned,In-Store,289.59,56+,West,Accessories,2021-01-10,2021
10094,2021-01-04 15:09:00,53,34,3,26.67,Not Returned,In-Store,80.01,46-55,East,Footwear,2021-01-04,2021
10095,2021-01-08 04:42:00,26,27,1,25.42,Not Returned,Online,25.42,36-45,East,Footwear,2021-01-08,2021
10096,2021-01-07 02:49:00,80,3,2,24.48,Not Returned,Online,48.96,46-55,East,Footwear,2021-01-07,2021
10097,2021-01-06 00:07:00,52,35,2,52.89,Not Returned,In-Store,105.78,46-55,East,Footwear,2021-01-06,2021
10098,2021-01-05 04:18:00,73,25,1,41.21,Not Returned,Online,41.21,56+,West,Clothing,2021-01-05,2021
10099,2021-01-08 19:24:00,10,48,3,74.54,Not Returned,Online,223.62,56+,East,Footwear,2021-01-08,2021
10100,2021-01-10 13:48:00,2,8,5,81.36,Not Returned,In-Store,406.8,56+,East,Accessories,2021-01-10,2021
10101,2021-01-02 03:34:00,11,14,3,60.86,Not Returned,In-Store,182.58,46-55,South,Clothing,2021-01-02,2021
10102,2021-01-08 04:18:00,60,25,1,54.66,Not Returned,Online,54.66,26-35,West,Clothing,2021-01-08,2021
